Code,Spp,Tow Date,Tow_ID,Tow_num,Picture Date,Fish Number,Notes,,,,,,,,,,,,,,,,,,
789234,Micropogonias undulatus,9/11/17,ICHP-17-0171,1,6/15/21,1,,,,,,,,,,,,,,,,,,,
789235,Micropogonias undulatus,9/12/17,ICHP-17-0172,1,6/16/21,1,,,,,,,,,,,,,,,,,,,
789236,Micropogonias undulatus,9/13/17,ICHP-17-0173,1,6/17/21,1,,,,,,,,,,,,,,,,,,,
789237,Micropogonias undulatus,9/14/17,ICHP-17-0174,1,6/18/21,1,,,,,,,,,,,,,,,,,,,
789238,Micropogonias undulatus,9/15/17,ICHP-17-0175,1,6/19/21,1,,,,,,,,,,,,,,,,,,,
789239,Micropogonias undulatus,9/16/17,ICHP-17-0176,1,6/20/21,1,,,,,,,,,,,,,,,,,,,
789240,Micropogonias undulatus,9/17/17,ICHP-17-0177,1,6/21/21,1,,,,,,,,,,,,,,,,,,,
789241,Micropogonias undulatus,9/18/17,ICHP-17-0178,1,6/22/21,1,,,,,,,,,,,,,,,,,,,
789242,Micropogonias undulatus,9/19/17,ICHP-17-0179,1,6/23/21,1,,,,,,,,,,,,,,,,,,,
789243,Micropogonias undulatus,9/20/17,ICHP-17-0180,1,6/24/21,1,,,,,,,,,,,,,,,,,,,
789244,Micropogonias undulatus,9/21/17,ICHP-17-0181,1,6/25/21,1,,,,,,,,,,,,,,,,,,,
789245,Micropogonias undulatus,9/22/17,ICHP-17-0182,1,6/26/21,1,,,,,,,,,,,,,,,,,,,
789246,Micropogonias undulatus,12/3/17,ICHP-17-0183,1,6/27/21,1,,,,,,,,,,,,,,,,,,,
789261,Paralichthys dentatus,12/3/17,ICHP-17-0183,1,7/12/21,1,,,,,,,,,,,,,,,,,,,
789247,Micropogonias undulatus,12/4/17,ICHP-17-0184,1,6/28/21,1,,,,,,,,,,,,,,,,,,,
789262,Paralichthys dentatus,12/4/17,ICHP-17-0184,1,7/13/21,1,,,,,,,,,,,,,,,,,,,
789248,Micropogonias undulatus,12/5/17,ICHP-17-0185,1,6/29/21,1,,,,,,,,,,,,,,,,,,,
789263,Paralichthys dentatus,12/5/17,ICHP-17-0185,1,7/14/21,1,,,,,,,,,,,,,,,,,,,
789249,Micropogonias undulatus,12/6/17,ICHP-17-0186,1,6/30/21,1,,,,,,,,,,,,,,,,,,,
789264,Paralichthys dentatus,9/19/17,ICHP-17-0186,1,7/15/21,1,,,,,,,,,,,,,,,,,,,
789250,Micropogonias undulatus,12/7/17,ICHP-17-0187,1,7/1/21,1,,,,,,,,,,,,,,,,,,,
789265,Paralichthys dentatus,9/20/17,ICHP-17-0187,1,7/16/21,1,,,,,,,,,,,,,,,,,,,
789251,Micropogonias undulatus,12/8/17,ICHP-17-0188,1,7/2/21,1,,,,,,,,,,,,,,,,,,,
789266,Paralichthys dentatus,9/21/17,ICHP-17-0188,1,7/17/21,1,,,,,,,,,,,,,,,,,,,
789252,Micropogonias undulatus,12/9/17,ICHP-17-0189,1,7/3/21,1,,,,,,,,,,,,,,,,,,,
789267,Paralichthys dentatus,9/22/17,ICHP-17-0189,1,7/18/21,1,,,,,,,,,,,,,,,,,,,
789253,Micropogonias undulatus,12/10/17,ICHP-17-0190,1,7/4/21,1,,,,,,,,,,,,,,,,,,,
789268,Paralichthys dentatus,12/3/17,ICHP-17-0190,1,7/19/21,1,,,,,,,,,,,,,,,,,,,
789254,Micropogonias undulatus,12/11/17,ICHP-17-0191,1,7/5/21,1,,,,,,,,,,,,,,,,,,,
789269,Paralichthys dentatus,12/4/17,ICHP-17-0191,1,7/20/21,1,,,,,,,,,,,,,,,,,,,
789255,Paralichthys dentatus,12/12/17,ICHP-17-0192,1,7/6/21,1,,,,,,,,,,,,,,,,,,,
789270,Paralichthys dentatus,12/5/17,ICHP-17-0192,1,7/21/21,1,,,,,,,,,,,,,,,,,,,
789256,Paralichthys dentatus,12/13/17,ICHP-17-0193,1,7/7/21,1,,,,,,,,,,,,,,,,,,,
789271,Paralichthys dentatus,9/19/17,ICHP-17-0193,1,7/22/21,1,,,,,,,,,,,,,,,,,,,
789257,Paralichthys dentatus,9/19/17,ICHP-17-0194,1,7/8/21,1,,,,,,,,,,,,,,,,,,,
789272,Paralichthys dentatus,9/20/17,ICHP-17-0194,1,7/23/21,1,,,,,,,,,,,,,,,,,,,
789258,Paralichthys dentatus,9/20/17,ICHP-17-0195,1,7/9/21,1,,,,,,,,,,,,,,,,,,,
789273,Paralichthys dentatus,9/21/17,ICHP-17-0195,1,7/24/21,1,,,,,,,,,,,,,,,,,,,
789259,Paralichthys dentatus,9/21/17,ICHP-17-0196,1,7/10/21,1,,,,,,,,,,,,,,,,,,,
789274,Paralichthys dentatus,9/22/17,ICHP-17-0196,1,7/25/21,1,,,,,,,,,,,,,,,,,,,
789260,Paralichthys dentatus,9/22/17,ICHP-17-0197,1,7/11/21,1,,,,,,,,,,,,,,,,,,,
789275,Paralichthys dentatus,12/3/17,ICHP-17-0197,1,7/26/21,1,,,,,,,,,,,,,,,,,,,
789276,Paralichthys dentatus,12/4/17,ICHP-17-0197,1,7/27/21,1,,,,,,,,,,,,,,,,,,,
788234,Micropogonias undulatus,9/1/17,ICHP-17-8000,1,6/15/21,1,,,,,,,,,,,,,,,,,,,
788235,Micropogonias undulatus,9/2/17,ICHP-17-8001,1,6/16/21,1,,,,,,,,,,,,,,,,,,,
788236,Micropogonias undulatus,9/3/17,ICHP-17-8002,1,6/17/21,1,,,,,,,,,,,,,,,,,,,
