Date Collected,Sample ID,Photo ID,Photo_reduced,Fish.ID
4/5/17,IE0405173,MU.100118.01.00,MU.100118.01,MU.100118.01_IE0405173
4/5/17,IE0405173,MU.100118.01.02,MU.100118.01,MU.100118.01_IE0405173
4/5/17,IE0405173,MU.100118.02.00,MU.100118.02,MU.100118.02_IE0405173
4/5/17,IE0405173,MU.100118.02.02,MU.100118.02,MU.100118.02_IE0405173
4/5/17,IE0405173,MU.100118.03.00,MU.100118.03,MU.100118.03_IE0405173
4/5/17,IE0405173,MU.100118.03.01,MU.100118.03,MU.100118.03_IE0405173
4/5/17,IE0405173,MU.100118.04.00,MU.100118.04,MU.100118.04_IE0405173
4/5/17,IE0405173,MU.100118.04.01,MU.100118.04,MU.100118.04_IE0405173
4/5/17,IE0405173,MU.100118.05.00,MU.100118.05,MU.100118.05_IE0405173
4/5/17,IE0405173,MU.100118.05.01,MU.100118.05,MU.100118.05_IE0405173
4/5/17,IE0405173,MU.100118.06.00,MU.100118.06,MU.100118.06_IE0405173
4/5/17,IE0405173,MU.100118.06.02,MU.100118.06,MU.100118.06_IE0405173
4/5/17,IE0405173,MU.100118.07.00,MU.100118.07,MU.100118.07_IE0405173
4/5/17,IE0405173,MU.100118.07.02,MU.100118.07,MU.100118.07_IE0405173
4/5/17,IE0405173,MU.100118.08.02,MU.100118.08,MU.100118.08_IE0405173
4/5/17,IE0405173,MU.100118.09.00,MU.100118.09,MU.100118.09_IE0405173
4/5/17,IE0405173,MU.100118.09.02,MU.100118.09,MU.100118.09_IE0405173
4/5/17,IE0405173,MU.100118.10.00,MU.100118.10,MU.100118.10_IE0405173
4/5/17,IE0405173,MU.100118.10.02,MU.100118.10,MU.100118.10_IE0405173
4/5/17,IE0405173,MU.100118.11.00,MU.100118.11,MU.100118.11_IE0405173
4/5/17,IE0405173,MU.100118.11.01,MU.100118.11,MU.100118.11_IE0405173
4/5/17,IE0405173,MU.100118.12.00,MU.100118.12,MU.100118.12_IE0405173
4/5/17,IE0405173,MU.100118.12.01,MU.100118.12,MU.100118.12_IE0405173
10/9/17,IE1009171,MU.100118.01.00,MU.100118.01,MU.100118.01_IE1009171
10/9/17,IE1009171,MU.100118.01.02,MU.100118.01,MU.100118.01_IE1009171
10/9/17,IE1009171,MU.100118.02.00,MU.100118.02,MU.100118.02_IE1009171
10/9/17,IE1009171,MU.100118.02.01,MU.100118.02,MU.100118.02_IE1009171
10/9/17,IE1009171,MU.100118.03.00,MU.100118.03,MU.100118.03_IE1009171
10/9/17,IE1009171,MU.100118.03.02,MU.100118.03,MU.100118.03_IE1009171
10/9/17,IE1009171,MU.100118.04.00,MU.100118.04,MU.100118.04_IE1009171
10/9/17,IE1009171,MU.100118.04.02,MU.100118.04,MU.100118.04_IE1009171
10/9/17,IE1009171,MU.100118.05.00,MU.100118.05,MU.100118.05_IE1009171
10/9/17,IE1009171,MU.100118.05.01,MU.100118.05,MU.100118.05_IE1009171
10/9/17,IE1009171,MU.100118.05.02,MU.100118.05,MU.100118.05_IE1009171
10/9/17,IE1009171,MU.100118.06.00,MU.100118.06,MU.100118.06_IE1009171
10/9/17,IE1009171,MU.100118.06.01,MU.100118.06,MU.100118.06_IE1009171
10/9/17,IE1009171,MU.100118.07.00,MU.100118.07,MU.100118.07_IE1009171
10/9/17,IE1009171,MU.100118.07.03,MU.100118.07,MU.100118.07_IE1009171
10/9/17,IE1009171,MU.100118.08.00,MU.100118.08,MU.100118.08_IE1009171
