Tow,Genus,Species,Survey,Preserve,Number,Location,Temperature
ICHP-17-0171,Micropogonias undulatus,undulatus,ICHPLAN,ETOH,4,LSHCB,20.7
ICHP-17-0172,Micropogonias undulatus,undulatus,ICHPLAN,ETOH,8,LSHCB,21.5
ICHP-17-0173,Micropogonias undulatus,undulatus,ICHPLAN,ETOH,10,LSHCB,21.8
ICHP-17-0174,Micropogonias undulatus,undulatus,ICHPLAN,ETOH,30,LSHCB,20.7
ICHP-17-0175,Micropogonias undulatus,undulatus,ICHPLAN,ETOH,40,LSHCB,21.9
ICHP-17-0176,Micropogonias undulatus,undulatus,ICHPLAN,ETOH,60,LSHCB,20.7
ICHP-17-0177,Micropogonias undulatus,undulatus,ICHPLAN,ETOH,90,LSHCB,20.5
ICHP-17-0178,Micropogonias undulatus,undulatus,ICHPLAN,ETOH,100,LSHCB,20.4
ICHP-17-0179,Micropogonias undulatus,undulatus,ICHPLAN,ETOH,90,LSHCB,21.1
ICHP-17-0180,Micropogonias undulatus,undulatus,ICHPLAN,ETOH,100,LSHCB,21.7
ICHP-17-0181,Micropogonias undulatus,undulatus,ICHPLAN,ETOH,90,LSHCB,20
ICHP-17-0182,Micropogonias undulatus,undulatus,ICHPLAN,ETOH,90,LSHCB,21
ICHP-17-0183,Micropogonias undulatus,undulatus,ICHPLAN,ETOH,10,LSHCB,4.9
ICHP-17-0183,Paralichthys,dentatus,ICHPLAN,ETOH,70,LSHCB,4.7
ICHP-17-0184,Micropogonias undulatus,undulatus,ICHPLAN,ETOH,8,LSHCB,4.1
ICHP-17-0184,Paralichthys,dentatus,ICHPLAN,ETOH,86,LSHCB,6.4
ICHP-17-0185,Micropogonias undulatus,undulatus,ICHPLAN,ETOH,7,LSHCB,6.8
ICHP-17-0185,Paralichthys,dentatus,ICHPLAN,ETOH,89,LSHCB,4.7
ICHP-17-0186,Paralichthys,dentatus,ICHPLAN,ETOH,13,LSHCB,20.4
ICHP-17-0186,Micropogonias undulatus,undulatus,ICHPLAN,ETOH,6,LSHCB,5.2
ICHP-17-0187,Paralichthys,dentatus,ICHPLAN,ETOH,18,LSHCB,21.5
ICHP-17-0187,Micropogonias undulatus,undulatus,ICHPLAN,ETOH,20,LSHCB,4.9
ICHP-17-0188,Paralichthys,dentatus,ICHPLAN,ETOH,13,LSHCB,20.6
ICHP-17-0188,Micropogonias undulatus,undulatus,ICHPLAN,ETOH,20,LSHCB,6.8
ICHP-17-0189,Paralichthys,dentatus,ICHPLAN,ETOH,20,LSHCB,21.4
ICHP-17-0189,Micropogonias undulatus,undulatus,ICHPLAN,ETOH,8,LSHCB,5.4
ICHP-17-0190,Paralichthys,dentatus,ICHPLAN,ETOH,98,LSHCB,6.9
ICHP-17-0190,Micropogonias undulatus,undulatus,ICHPLAN,ETOH,6,LSHCB,5.3
ICHP-17-0191,Paralichthys,dentatus,ICHPLAN,ETOH,93,LSHCB,4.5
ICHP-17-0191,Micropogonias undulatus,undulatus,ICHPLAN,ETOH,7,LSHCB,6.7
ICHP-17-0192,Paralichthys,dentatus,ICHPLAN,ETOH,101,LSHCB,6.4
ICHP-17-0192,Paralichthys,dentatus,ICHPLAN,ETOH,67,LSHCB,4.2
ICHP-17-0193,Paralichthys,dentatus,ICHPLAN,ETOH,14,LSHCB,21.1
ICHP-17-0193,Paralichthys,dentatus,ICHPLAN,ETOH,98,LSHCB,4.8
ICHP-17-0194,Paralichthys,dentatus,ICHPLAN,ETOH,1,LSHCB,20.2
ICHP-17-0194,Paralichthys,dentatus,ICHPLAN,ETOH,15,LSHCB,20.2
ICHP-17-0195,Paralichthys,dentatus,ICHPLAN,ETOH,4,LSHCB,21.5
ICHP-17-0195,Paralichthys,dentatus,ICHPLAN,ETOH,13,LSHCB,21.2
ICHP-17-0196,Paralichthys,dentatus,ICHPLAN,ETOH,3,LSHCB,21.5
ICHP-17-0196,Paralichthys,dentatus,ICHPLAN,ETOH,16,LSHCB,21.3
ICHP-17-0197,Paralichthys,dentatus,ICHPLAN,ETOH,2,LSHCB,21.3
ICHP-17-0197,Paralichthys,dentatus,ICHPLAN,ETOH,103,LSHCB,6.9
ICHP-17-0197,Paralichthys,dentatus,ICHPLAN,ETOH,94,LSHCB,6
ICHP-17-8000,Micropogonias undulatus,undulatus,ICHPLAN,ETOH,100,NC,26.4
ICHP-17-8001,Micropogonias undulatus,undulatus,ICHPLAN,ETOH,96,NC,26.7
ICHP-17-8002,Micropogonias undulatus,undulatus,ICHPLAN,ETOH,92,NC,26
ICHP-17-8003,Micropogonias undulatus,undulatus,ICHPLAN,ETOH,138,NC,27
ICHP-17-8004,Micropogonias undulatus,undulatus,ICHPLAN,ETOH,92,NC,24.9
ICHP-17-8005,Micropogonias undulatus,undulatus,ICHPLAN,ETOH,95,NC,25.5
ICHP-17-8006,Micropogonias undulatus,undulatus,ICHPLAN,ETOH,101,NC,24.9
ICHP-17-8007,Micropogonias undulatus,undulatus,ICHPLAN,ETOH,138,NC,26.8
ICHP-17-8008,Micropogonias undulatus,undulatus,ICHPLAN,ETOH,115,NC,25.8
ICHP-17-8016,Micropogonias undulatus,undulatus,ICHPLAN,ETOH,133,NC,20
ICHP-17-8018,Micropogonias undulatus,undulatus,ICHPLAN,ETOH,106,NC,25.1
ICHP-17-8011,Micropogonias undulatus,undulatus,ICHPLAN,ETOH,103,NC,18.8
ICHP-17-8019,Micropogonias undulatus,undulatus,ICHPLAN,ETOH,64,NC,18.6
ICHP-17-8012,Micropogonias undulatus,undulatus,ICHPLAN,ETOH,67,NC,19.4
ICHP-17-8009,Micropogonias undulatus,undulatus,ICHPLAN,ETOH,93,NC,21
ICHP-17-8020,Micropogonias undulatus,undulatus,ICHPLAN,ETOH,88,NC,18.3
ICHP-17-8014,Micropogonias undulatus,undulatus,ICHPLAN,ETOH,40,NC,19.4
ICHP-17-8010,Micropogonias undulatus,undulatus,ICHPLAN,ETOH,44,NC,20.4
ICHP-17-8013,Micropogonias undulatus,undulatus,ICHPLAN,ETOH,132,NC,18.5
ICHP-17-8015,Micropogonias undulatus,undulatus,ICHPLAN,ETOH,67,NC,20.6
ICHP-17-8017,Micropogonias undulatus,undulatus,ICHPLAN,ETOH,146,NC,18.7
ICHP-17-8037,Micropogonias undulatus,dentatus,ICHPLAN,ETOH,61,NC,20.3
ICHP-17-8023,Micropogonias undulatus,dentatus,ICHPLAN,ETOH,5,NC,18.2
ICHP-17-8034,Micropogonias undulatus,dentatus,ICHPLAN,ETOH,15,NC,25.6
ICHP-17-8042,Micropogonias undulatus,dentatus,ICHPLAN,ETOH,18,NC,18.8
ICHP-17-8029,Micropogonias undulatus,dentatus,ICHPLAN,ETOH,18,NC,19.4
ICHP-17-8021,Micropogonias undulatus,dentatus,ICHPLAN,ETOH,18,NC,19.5
ICHP-17-8039,Micropogonias undulatus,dentatus,ICHPLAN,ETOH,18,NC,20.6
ICHP-17-8031,Micropogonias undulatus,dentatus,ICHPLAN,ETOH,13,NC,20.3
ICHP-17-8027,Micropogonias undulatus,dentatus,ICHPLAN,ETOH,13,NC,20.4
ICHP-17-8025,Micropogonias undulatus,dentatus,ICHPLAN,ETOH,10,NC,18.9
ICHP-17-8033,Micropogonias undulatus,dentatus,ICHPLAN,ETOH,15,NC,18.9
ICHP-17-8030,Micropogonias undulatus,dentatus,ICHPLAN,ETOH,168,NC,19.1
ICHP-17-8026,Micropogonias undulatus,dentatus,ICHPLAN,ETOH,128,NC,19.5
ICHP-17-8038,Micropogonias undulatus,dentatus,ICHPLAN,ETOH,178,NC,18.4
ICHP-17-8035,Micropogonias undulatus,dentatus,ICHPLAN,ETOH,154,NC,20.7
ICHP-17-8024,Micropogonias undulatus,dentatus,ICHPLAN,ETOH,165,NC,20.6
ICHP-17-8036,Micropogonias undulatus,dentatus,ICHPLAN,ETOH,166,NC,19.5
ICHP-17-8022,Micropogonias undulatus,dentatus,ICHPLAN,ETOH,197,NC,20.1
ICHP-17-8028,Micropogonias undulatus,dentatus,ICHPLAN,ETOH,137,NC,18.4
ICHP-17-8032,Micropogonias undulatus,dentatus,ICHPLAN,ETOH,170,NC,24.6
ICHP-17-8040,Micropogonias undulatus,dentatus,ICHPLAN,ETOH,139,NC,20.8
ICHP-17-8041,Micropogonias undulatus,dentatus,ICHPLAN,ETOH,181,NC,18.1
ICHP-17-0171,Anaplopoma,fimbria,ICHPLAN,ETOH,4,LSHCB,20.7
ICHP-17-0172,Anaplopoma,fimbria,ICHPLAN,ETOH,8,LSHCB,21.5
ICHP-17-0173,Anaplopoma,fimbria,ICHPLAN,ETOH,10,LSHCB,21.8
ICHP-17-0174,Anaplopoma,fimbria,ICHPLAN,ETOH,30,LSHCB,20.7
ICHP-17-0175,Anaplopoma,fimbria,ICHPLAN,ETOH,40,LSHCB,21.9
ICHP-17-0176,Anaplopoma,fimbria,ICHPLAN,ETOH,60,LSHCB,20.7
ICHP-17-0177,Anaplopoma,fimbria,ICHPLAN,ETOH,90,LSHCB,20.5
ICHP-17-0178,Anaplopoma,fimbria,ICHPLAN,ETOH,100,LSHCB,20.4
ICHP-17-0179,Anaplopoma,fimbria,ICHPLAN,ETOH,90,LSHCB,21.1
ICHP-17-0180,Anaplopoma,fimbria,ICHPLAN,ETOH,100,LSHCB,21.7
ICHP-17-0181,Anaplopoma,fimbria,ICHPLAN,ETOH,90,LSHCB,20
ICHP-17-0182,Anaplopoma,fimbria,ICHPLAN,ETOH,90,LSHCB,21
ICHP-17-0183,Anaplopoma,fimbria,ICHPLAN,ETOH,10,LSHCB,4.9
ICHP-17-0183,Anaplopoma,fimbria,ICHPLAN,ETOH,70,LSHCB,4.7
ICHP-17-0184,Anaplopoma,fimbria,ICHPLAN,ETOH,8,LSHCB,4.1
ICHP-17-0184,Anaplopoma,fimbria,ICHPLAN,ETOH,86,LSHCB,6.4
ICHP-17-0185,Anaplopoma,fimbria,ICHPLAN,ETOH,7,LSHCB,6.8
ICHP-17-0185,Anaplopoma,fimbria,ICHPLAN,ETOH,89,LSHCB,4.7
ICHP-17-0186,Anaplopoma,fimbria,ICHPLAN,ETOH,13,LSHCB,20.4
ICHP-17-0186,Anaplopoma,fimbria,ICHPLAN,ETOH,6,LSHCB,5.2
ICHP-17-0187,Anaplopoma,fimbria,ICHPLAN,ETOH,18,LSHCB,21.5
ICHP-17-0187,Pseudopleuronectes,americanus ,ICHPLAN,ETOH,20,LSHCB,4.9
ICHP-17-0188,Pseudopleuronectes,americanus ,ICHPLAN,ETOH,13,LSHCB,20.6
ICHP-17-0188,Pseudopleuronectes,americanus ,ICHPLAN,ETOH,20,LSHCB,6.8
ICHP-17-0189,Pseudopleuronectes,americanus ,ICHPLAN,ETOH,20,LSHCB,21.4
ICHP-17-0189,Pseudopleuronectes,americanus ,ICHPLAN,ETOH,8,LSHCB,5.4
ICHP-17-0190,Pseudopleuronectes,americanus ,ICHPLAN,ETOH,98,LSHCB,6.9
ICHP-17-0190,Pseudopleuronectes,americanus ,ICHPLAN,ETOH,6,LSHCB,5.3
ICHP-17-0191,Pseudopleuronectes,americanus ,ICHPLAN,ETOH,93,LSHCB,4.5
