"","Tow","Genus","Species","Survey","Preserve","FL","SL","TL","Number","Date","Location"
"1","ICHP-18-0075","Micropogonias","undulatus","ICHPLAN","ETOH",NA,7.5,NA,1,2018-09-03,"LSHCB"
"2","ICHP-17-0053","Micropogonias","undulatus","ICHPLAN","ETOH",NA,6.7,NA,1,2017-09-05,"LSHCB"
"3","ICHP-17-0054","Micropogonias","undulatus","ICHPLAN","ETOH",NA,7.3,NA,8,2017-09-05,"LSHCB"
"4","ICHP-17-0054","Micropogonias","undulatus","ICHPLAN","ETOH",NA,7,NA,8,2017-09-05,"LSHCB"
"5","ICHP-17-0054","Micropogonias","undulatus","ICHPLAN","ETOH",NA,6.4,NA,8,2017-09-05,"LSHCB"
"6","ICHP-17-0054","Micropogonias","undulatus","ICHPLAN","ETOH",NA,7.6,NA,8,2017-09-05,"LSHCB"
"7","ICHP-17-0054","Micropogonias","undulatus","ICHPLAN","ETOH",NA,7.4,NA,8,2017-09-05,"LSHCB"
"8","ICHP-17-0054","Micropogonias","undulatus","ICHPLAN","ETOH",NA,5.8,NA,8,2017-09-05,"LSHCB"
"9","ICHP-17-0054","Micropogonias","undulatus","ICHPLAN","ETOH",NA,10.5,NA,8,2017-09-05,"LSHCB"
"10","ICHP-17-0055","Micropogonias","undulatus","ICHPLAN","ETOH",NA,6.1,NA,5,2017-09-05,"LSHCB"
"11","ICHP-17-0055","Micropogonias","undulatus","ICHPLAN","ETOH",NA,6,NA,5,2017-09-05,"LSHCB"
"12","ICHP-17-0055","Micropogonias","undulatus","ICHPLAN","ETOH",NA,5.9,NA,5,2017-09-05,"LSHCB"
"13","ICHP-17-0055","Micropogonias","undulatus","ICHPLAN","ETOH",NA,7.1,NA,5,2017-09-05,"LSHCB"
"14","ICHP-17-0057","Micropogonias","undulatus","ICHPLAN","ETOH",NA,10,NA,5,2017-09-21,"LSHCB"
"15","ICHP-17-0057","Micropogonias","undulatus","ICHPLAN","ETOH",NA,10.9,NA,5,2017-09-21,"LSHCB"
"16","ICHP-17-0057","Micropogonias","undulatus","ICHPLAN","ETOH",NA,9.5,NA,5,2017-09-21,"LSHCB"
"17","ICHP-17-0057","Micropogonias","undulatus","ICHPLAN","ETOH",NA,8.2,NA,5,2017-09-21,"LSHCB"
"18","ICHP-17-0058","Micropogonias","undulatus","ICHPLAN","ETOH",NA,10,NA,6,2017-09-21,"LSHCB"
"19","ICHP-17-0058","Micropogonias","undulatus","ICHPLAN","ETOH",NA,6.5,NA,6,2017-09-21,"LSHCB"
"20","ICHP-17-0058","Micropogonias","undulatus","ICHPLAN","ETOH",NA,6.8,NA,6,2017-09-21,"LSHCB"
"21","ICHP-17-0058","Micropogonias","undulatus","ICHPLAN","ETOH",NA,8.2,NA,6,2017-09-21,"LSHCB"
"22","ICHP-17-0058","Micropogonias","undulatus","ICHPLAN","ETOH",NA,8.2,NA,6,2017-09-21,"LSHCB"
"23","ICHP-17-0058","Micropogonias","undulatus","ICHPLAN","ETOH",NA,10.1,NA,6,2017-09-21,"LSHCB"
"24","ICHP-17-0059","Micropogonias","undulatus","ICHPLAN","ETOH",NA,7.2,NA,16,2017-09-21,"LSHCB"
"25","ICHP-17-0059","Micropogonias","undulatus","ICHPLAN","ETOH",NA,7.2,NA,16,2017-09-21,"LSHCB"
"26","ICHP-17-0059","Micropogonias","undulatus","ICHPLAN","ETOH",NA,10.8,NA,16,2017-09-21,"LSHCB"
"27","ICHP-17-0059","Micropogonias","undulatus","ICHPLAN","ETOH",NA,9,NA,16,2017-09-21,"LSHCB"
"28","ICHP-17-0059","Micropogonias","undulatus","ICHPLAN","ETOH",NA,6.8,NA,16,2017-09-21,"LSHCB"
"29","ICHP-17-0059","Micropogonias","undulatus","ICHPLAN","ETOH",NA,6.8,NA,16,2017-09-21,"LSHCB"
"30","ICHP-17-0059","Micropogonias","undulatus","ICHPLAN","ETOH",NA,6,NA,16,2017-09-21,"LSHCB"
"31","ICHP-17-0059","Micropogonias","undulatus","ICHPLAN","ETOH",NA,10,NA,16,2017-09-21,"LSHCB"
"32","ICHP-17-0059","Micropogonias","undulatus","ICHPLAN","ETOH",NA,7,NA,16,2017-09-21,"LSHCB"
"33","ICHP-17-0059","Micropogonias","undulatus","ICHPLAN","ETOH",NA,7.7,NA,16,2017-09-21,"LSHCB"
"34","ICHP-17-0059","Micropogonias","undulatus","ICHPLAN","ETOH",NA,8.2,NA,16,2017-09-21,"LSHCB"
"35","ICHP-17-0059","Micropogonias","undulatus","ICHPLAN","ETOH",NA,6,NA,16,2017-09-21,"LSHCB"
"36","ICHP-17-0059","Micropogonias","undulatus","ICHPLAN","ETOH",NA,9.8,NA,16,2017-09-21,"LSHCB"
"37","ICHP-17-0059","Micropogonias","undulatus","ICHPLAN","ETOH",NA,6.4,NA,16,2017-09-21,"LSHCB"
"38","ICHP-17-0059","Micropogonias","undulatus","ICHPLAN","ETOH",NA,6.2,NA,16,2017-09-21,"LSHCB"
"39","ICHP-17-0059","Micropogonias","undulatus","ICHPLAN","ETOH",NA,8,NA,16,2017-09-21,"LSHCB"
"40","ICHP-17-0060","Micropogonias","undulatus","ICHPLAN","ETOH",NA,6.2,NA,2,2017-09-21,"LSHCB"
"41","ICHP-17-0060","Micropogonias","undulatus","ICHPLAN","ETOH",NA,7.2,NA,2,2017-09-21,"LSHCB"
"42","ICHP-17-0061","Micropogonias","undulatus","ICHPLAN","ETOH",NA,11.6,NA,1,2017-10-03,"LSHCB"
"43","ICHP-17-0067","Micropogonias","undulatus","ICHPLAN","ETOH",NA,11.5,NA,2,2017-10-17,"LSHCB"
"44","ICHP-17-0067","Micropogonias","undulatus","ICHPLAN","ETOH",NA,14.4,NA,2,2017-10-17,"LSHCB"
"45","ICHP-17-0069","Micropogonias","undulatus","ICHPLAN","ETOH",NA,20,NA,7,2017-11-01,"LSHCB"
"46","ICHP-17-0069","Micropogonias","undulatus","ICHPLAN","ETOH",NA,9.3,NA,7,2017-11-01,"LSHCB"
"47","ICHP-17-0069","Micropogonias","undulatus","ICHPLAN","ETOH",NA,10,NA,7,2017-11-01,"LSHCB"
